"id","cat_id","lat","lon","inner_x_diameter","inner_y_diameter","outer_x_diameter","r_eff","thickness","e","angle","dispersion","abslon"
91573,"MWP1G312975-04354",-0.4354279,312.9748272,0.0583158,0.0571072,0.0888626,3.02792071858991,1.29603742592864,0.202535537159572,23.964,0.0086688,-47.0251728
91574,"MWP1G309059+01661",0.1660606,309.0590360,0.1249671,0.1157425,0.1855883,6.26137187196998,2.57319664525749,0.377072435060985,23.108,0.0268729,-50.9409640
91575,"MWP1G354182-00528",-0.0527919,354.1821350,0.0673284,0.0614597,0.0973476,3.30798996472243,1.27450968340956,0.408329285592506,10.714,0.0093714,-5.8178650
91576,"MWP1G348260+04774",0.4774040,348.2597731,0.1274083,0.1299939,0.1753868,6.39764564649761,2.03563017414327,0.198455812529773,25.061,0.0207942,-11.7402269
91577,"MWP1G345484+04011",0.4011382,345.4839785,0.0576072,0.0558724,0.0917379,3.04642030688186,1.44814862988346,0.243560489405919,17.833,0.0106538,-14.5160215
91578,"MWP1G013733-00160",-0.0159981,13.7330073,0.1135737,0.1104070,0.1600578,5.6520402552254,1.97229264652034,0.234493595308682,18.782,0.0127673,13.7330073
91579,"MWP1G005899-04548",-0.4548185,5.8986592,0.1308209,0.1336883,0.1870957,6.69931841328463,2.38763597947892,0.206001854797167,25.832,0.0430820,5.8986592
91580,"MWP1G018193-04002",-0.4001685,18.1927230,0.0629908,0.0574366,0.0963248,3.18409328776861,1.41521107015012,0.410578579738311,19.472,0.0077219,18.1927230
91581,"MWP1G018261-02967",-0.2967184,18.2606111,0.0563073,0.0548223,0.0876998,2.94908907347617,1.33194696814543,0.228146284008654,17.783,0.0074250,18.2606111
91582,"MWP1G331011-01485",-0.1484733,331.0108867,0.0735325,0.0715268,0.1146573,3.85199670292519,1.74488394160529,0.231967127379212,19.390,0.0113052,-28.9891133
91583,"MWP1G034164+01462",0.1462178,34.1642076,0.0748477,0.0742163,0.1061846,3.76870162747302,1.32952046610309,0.129616477526552,35.019,0.0111613,34.1642076
91584,"MWP1G341283-03407",-0.3406877,341.2828057,0.0541658,0.0535980,0.0843369,2.85518411369411,1.28006275473244,0.144413894777634,28.715,0.0185811,-18.7171943
91585,"MWP1G011182-03472",-0.3472143,11.1820538,0.0479033,0.0464074,0.0754412,2.51791207421284,1.16842694493956,0.247951267549318,5.936,0.0057936,11.1820538
91586,"MWP1G308715+06317",0.6317003,308.7152576,0.1355877,0.1397840,0.2022835,7.11705816810683,2.82988450795889,0.243184255223738,44.908,0.0336986,-51.2847424
91587,"MWP1G329275+01097",0.1096829,329.2748515,0.0325261,0.0308894,0.0528704,1.72358361920876,0.863310722308579,0.313220557930753,8.585,0.0045418,-30.7251485
