"lon","lat","width","height","thickness","angle","score","scale"
18.0057500,0.2405000,0.0116250,0.0172500,0.0075000,0.000,5.00,0.0003750
18.0083750,0.2412500,0.0195000,0.0198750,0.0112500,0.000,10.00,0.0003750
18.0016250,0.4682188,0.0480000,0.0435000,0.0127500,0.000,10.00,0.0003750
18.0387500,0.3737188,0.0746250,0.1747500,0.0127500,0.000,10.00,0.0003750
18.0547813,0.4685000,0.0165000,0.0165000,0.0153750,0.000,10.00,0.0003750
18.0001250,0.4253750,0.0075000,0.0075000,0.0030000,0.000,5.00,0.0003750
18.0331250,0.4017500,0.0075000,0.0075000,0.0063750,0.000,5.00,0.0003750
18.0481250,-0.0095000,0.0150000,0.0150000,0.0075000,0.000,6.00,0.0003750
18.0177500,0.0306250,0.0225000,0.0135000,0.0063750,0.000,6.00,0.0003750
18.0286250,-0.0166250,0.0116250,0.0078750,0.0063750,0.000,6.00,0.0003750
18.0278750,-0.0158750,0.0198750,0.0198750,0.0033750,0.000,6.00,0.0003750
18.0193813,0.0349938,0.0153750,0.0153750,0.0112500,0.000,7.00,0.0003750
18.0222500,0.0370000,0.0326250,0.0322500,0.0090000,0.000,5.00,0.0003750
18.0335000,-0.1101250,0.0075000,0.0075000,0.0030000,0.000,5.00,0.0003750
18.0218750,-0.3430000,0.0611250,0.0611250,0.0131250,0.000,10.00,0.0003750
18.0243688,-0.3465625,0.0292500,0.0225000,0.0581250,0.000,10.00,0.0003750
18.0321875,-0.3803125,0.0086250,0.0116250,0.0172500,32.400,10.00,0.0003750
18.0222500,-0.4926250,0.0075000,0.0075000,0.0150000,0.000,8.00,0.0003750
18.0221938,-0.4450000,0.0105000,0.0090000,0.0206250,0.000,10.00,0.0003750
18.0248750,-0.6103750,0.0176250,0.0176250,0.0063750,0.000,8.00,0.0003750
18.0842500,0.0700001,0.0150000,0.0183750,0.0063750,22.700,5.00,0.0003750
18.0677500,-0.0132499,0.0135000,0.0131250,0.0060000,0.000,5.00,0.0003750
18.1637500,0.0876251,0.0131250,0.0225000,0.0033750,41.600,5.00,0.0003750
18.0722500,-0.0098749,0.0116250,0.0116250,0.0247500,0.000,6.00,0.0003750
18.0748750,0.0722501,0.0180000,0.0183750,0.0236250,0.000,6.00,0.0003750
18.1596250,0.0910001,0.0101250,0.0101250,0.0225000,0.000,6.00,0.0003750
18.0808000,0.0733001,0.0075000,0.0075000,0.0030000,0.000,9.00,0.0003750
18.0880188,0.0661001,0.0075000,0.0116250,0.0030000,0.000,9.00,0.0003750
18.0799000,0.0853001,0.0075000,0.0075000,0.0033750,0.000,9.00,0.0003750
18.0751000,0.0616001,0.0075000,0.0075000,0.0030000,0.000,9.00,0.0003750
18.0562000,0.0706001,0.0075000,0.0075000,0.0030000,0.000,9.00,0.0003750
18.0844000,-0.0136999,0.0112500,0.0112500,0.0030000,0.000,9.00,0.0003750
18.0322000,0.0175001,0.0495000,0.0352500,0.0041250,-16.700,9.00,0.0003750
18.0649000,-0.0121999,0.0180000,0.0180000,0.0030000,0.000,9.00,0.0003750
18.0859000,0.0274376,0.0626250,0.0618750,0.0033750,0.000,9.00,0.0003750
18.0406000,-0.0385999,0.0318750,0.0322500,0.0030000,0.000,9.00,0.0003750
18.0265000,-0.0253999,0.0502500,0.0502500,0.0030000,0.000,9.00,0.0003750
18.1324188,-0.0310999,0.0663750,0.0495000,0.0048750,0.000,9.00,0.0003750
18.1681000,0.0709001,0.0075000,0.0075000,0.0030000,0.000,9.00,0.0003750
18.1678000,0.0835001,0.0075000,0.0075000,0.0030000,0.000,9.00,0.0003750
18.1585000,0.0835001,0.0075000,0.0075000,0.0030000,0.000,9.00,0.0003750
18.1594000,0.0940001,0.0075000,0.0075000,0.0030000,0.000,9.00,0.0003750
18.1423188,0.0682001,0.0288750,0.0285000,0.0033750,0.000,9.00,0.0003750
18.1129188,0.0934189,0.0461250,0.0461250,0.0033750,0.000,9.00,0.0003750
18.1318000,0.0169001,0.0461250,0.0461250,0.0033750,0.000,9.00,0.0003750
18.0736000,0.0022001,0.0168750,0.0168750,0.0030000,0.000,9.00,0.0003750
18.0820000,0.0688751,0.0247500,0.0210000,0.0086250,-24.800,10.00,0.0003750
18.0756250,0.0741251,0.0435000,0.0435000,0.0030000,0.000,8.00,0.0003750
18.1555000,0.0906251,0.0375000,0.0228750,0.0048750,0.000,8.00,0.0003750
18.0677500,-0.0132499,0.0600000,0.0315000,0.0060000,22.100,8.00,0.0003750
18.0793750,0.0737501,0.0367500,0.0367500,0.0033750,0.000,9.00,0.0003750
18.1622500,0.0940001,0.0345000,0.0345000,0.0030000,0.000,9.00,0.0003750
18.0722500,-0.0109999,0.0472500,0.0468750,0.0037500,0.000,9.00,0.0003750
18.0649375,-0.0132499,0.0228750,0.0232500,0.0030000,0.000,6.00,0.0003750
18.0791875,0.0715001,0.0123750,0.0123750,0.0063750,0.000,6.00,0.0003750
18.0844375,-0.0141874,0.0116250,0.0116250,0.0041250,0.000,6.00,0.0003750
18.0525625,0.0096251,0.0225000,0.0225000,0.0108750,0.000,6.00,0.0003750
18.1580313,0.0819064,0.0075000,0.0075000,0.0045000,0.000,6.00,0.0003750
18.1585000,0.0931001,0.0127500,0.0127500,0.0097500,0.000,6.00,0.0003750
18.0104500,0.0422501,0.0142500,0.0075000,0.0056250,24.000,6.00,0.0003750
18.1667500,0.0791501,0.0075000,0.0075000,0.0048750,0.000,6.00,0.0003750
18.0692688,-0.0155187,0.0202500,0.0202500,0.0153750,0.000,8.00,0.0003750
18.0824875,0.0694751,0.0075000,0.0075000,0.0097500,0.000,8.00,0.0003750
18.1584063,0.0896876,0.0153750,0.0135000,0.0105000,-25.000,8.00,0.0003750
18.0812500,0.0700001,0.0187500,0.0138750,0.0116250,0.000,5.00,0.0003750
18.0646938,-0.0149936,0.0172500,0.0172500,0.0093750,0.000,5.00,0.0003750
18.0825063,-0.0137562,0.0105000,0.0105000,0.0086250,0.000,5.00,0.0003750
18.1606188,0.0859376,0.0176250,0.0232500,0.0078750,46.800,5.00,0.0003750
18.0831250,0.0703751,0.0075000,0.0075000,0.0123750,0.000,8.00,0.0003750
18.1573750,0.0831251,0.0075000,0.0075000,0.0165000,0.000,8.00,0.0003750
18.0838750,-0.0132499,0.0075000,0.0075000,0.0045000,0.000,8.00,0.0003750
18.0636250,-0.0124999,0.0075000,0.0075000,0.0150000,0.000,8.00,0.0003750
18.0828063,0.0678064,0.0075000,0.0097500,0.0150000,48.000,10.00,0.0003750
18.1578063,0.0934376,0.0090000,0.0075000,0.0090000,0.000,10.00,0.0003750
18.0681250,-0.0143749,0.0176250,0.0135000,0.0375000,0.000,10.00,0.0003750
18.0843813,-0.0153124,0.0075000,0.0075000,0.0082500,0.000,10.00,0.0003750
18.1575063,0.0815689,0.0075000,0.0075000,0.0030000,0.000,10.00,0.0003750
18.1840563,0.0865564,0.0075000,0.0075000,0.0150000,0.000,10.00,0.0003750
18.0649938,-0.0118812,0.0221250,0.0221250,0.0127500,0.000,7.00,0.0003750
18.0668875,-0.0121999,0.0251250,0.0217500,0.0285000,0.000,10.00,0.0003750
18.1590625,0.0921814,0.0101250,0.0075000,0.0206250,0.000,10.00,0.0003750
18.0743875,0.0728126,0.0187500,0.0146250,0.0288750,0.000,10.00,0.0003750
18.1668813,0.0759438,0.0075000,0.0075000,0.0150000,0.000,10.00,0.0003750
18.0835000,0.0700001,0.0101250,0.0101250,0.0120000,0.000,5.00,0.0003750
18.0655000,-0.0151249,0.0153750,0.0153750,0.0116250,0.000,5.00,0.0003750
18.0280000,0.0280001,0.0360000,0.0360000,0.0157500,0.000,5.00,0.0003750
18.1577500,0.0917501,0.0123750,0.0123750,0.0101250,0.000,5.00,0.0003750
18.0778750,0.0707501,0.0086250,0.0086250,0.0030000,0.000,9.00,0.0003750
18.0842500,0.0707501,0.0168750,0.0165000,0.0041250,0.000,9.00,0.0003750
18.0673750,0.0655001,0.0075000,0.0075000,0.0101250,0.000,9.00,0.0003750
18.1581250,0.0820001,0.0075000,0.0075000,0.0030000,0.000,9.00,0.0003750
18.1607500,0.0917501,0.0105000,0.0105000,0.0030000,0.000,9.00,0.0003750
18.0970000,0.0088751,0.0075000,0.0075000,0.0097500,0.000,9.00,0.0003750
18.0546250,0.0055001,0.0131250,0.0131250,0.0030000,0.000,9.00,0.0003750
18.0838750,-0.0132499,0.0112500,0.0112500,0.0037500,0.000,9.00,0.0003750
18.0681250,-0.0154999,0.0228750,0.0228750,0.0030000,0.000,9.00,0.0003750
18.0651250,-0.0158749,0.0168750,0.0168750,0.0056250,0.000,8.00,0.0003750
18.0850000,-0.0139999,0.0123750,0.0123750,0.0063750,0.000,8.00,0.0003750
18.0820000,0.0696251,0.0161250,0.0161250,0.0063750,0.000,8.00,0.0003750
18.1697500,0.0685001,0.0101250,0.0101250,0.0048750,0.000,8.00,0.0003750
18.1462563,0.1793688,0.0153750,0.0153750,0.0112500,0.000,10.00,0.0003750
18.1478125,0.1006188,0.0228750,0.0217500,0.0191250,0.000,10.00,0.0003750
18.1483750,0.1791250,0.0288750,0.0288750,0.0030000,0.000,9.00,0.0003750
18.1510000,0.1063750,0.0352500,0.0352500,0.0030000,0.000,9.00,0.0003750
18.1795000,0.1112500,0.0097500,0.0108750,0.0030000,0.000,9.00,0.0003750
18.0872500,0.1007500,0.0187500,0.0187500,0.0037500,0.000,9.00,0.0003750
18.1446250,0.1780000,0.0075000,0.0075000,0.0281250,0.000,10.00,0.0003750
18.1502500,0.1048750,0.0101250,0.0075000,0.0315000,0.000,10.00,0.0003750
18.1465000,0.1802500,0.0138750,0.0138750,0.0108750,0.000,7.00,0.0003750
18.1487500,0.1041250,0.0202500,0.0202500,0.0127500,0.000,7.00,0.0003750
18.1457500,0.1772500,0.0180000,0.0180000,0.0150000,0.000,5.00,0.0003750
18.1450000,0.0951250,0.0390000,0.0390000,0.0150000,0.000,5.00,0.0003750
18.1450000,0.1795000,0.0191250,0.0191250,0.0075000,0.000,7.00,0.0003750
18.1461250,0.1817500,0.0075000,0.0075000,0.0146250,0.000,8.00,0.0003750
18.1551250,0.1041250,0.0075000,0.0075000,0.0150000,0.000,8.00,0.0003750
18.1442500,0.1813750,0.0150000,0.0150000,0.0075000,0.000,5.00,0.0003750
18.1783750,0.1105000,0.0090000,0.0090000,0.0030000,0.000,5.00,0.0003750
18.0865000,0.1063750,0.0157500,0.0157500,0.0146250,0.000,5.00,0.0003750
18.1468750,0.1787500,0.0165000,0.0157500,0.0116250,49.000,9.00,0.0003750
18.1453750,0.1120000,0.0101250,0.0112500,0.0030000,0.000,9.00,0.0003750
18.1457500,0.1127500,0.0108750,0.0097500,0.0033750,-83.700,9.00,0.0003750
18.0857500,0.1037500,0.0097500,0.0075000,0.0041250,42.800,9.00,0.0003750
