"lon","lat","width","height","thickness","angle","score","scale"
301.1361250,0.0153751,0.0093750,0.0075000,0.0037500,0.000,7.00,0.0003750
301.0945000,0.0637501,0.0232500,0.0232500,0.0086250,0.000,7.00,0.0003750
301.1038750,0.1020001,0.0075000,0.0075000,0.0071250,0.000,7.00,0.0003750
301.1348875,0.0120001,0.0198750,0.0198750,0.0030000,0.000,8.00,0.0003750
301.0442500,0.0577501,0.0075000,0.0075000,0.0030000,0.000,4.00,0.0003750
301.1357500,0.0153751,0.0105000,0.0105000,0.0150000,0.000,4.00,0.0003750
301.1147500,0.0097501,0.0075000,0.0075000,0.0056250,0.000,4.00,0.0003750
301.1342500,0.0168751,0.0075000,0.0075000,0.0082500,0.000,10.00,0.0003750
301.0975000,0.0652501,0.0176250,0.0176250,0.0060000,0.000,10.00,0.0003750
301.1143750,0.0120001,0.0142500,0.0142500,0.0232500,-2.600,5.00,0.0003750
301.1404938,0.0824251,0.0416250,0.0416250,0.0067500,0.000,4.00,0.0003750
301.0986250,0.0667501,0.0153750,0.0187500,0.0071250,22.100,9.00,0.0003750
301.0847500,0.0498751,0.0131250,0.0078750,0.0078750,-55.000,9.00,0.0003750
301.1193625,0.0167251,0.0251250,0.0075000,0.0213750,0.000,10.00,0.0003750
301.1215000,-0.0491249,0.3581250,0.3633750,0.0101250,0.000,10.00,0.0003750
301.0155438,-0.0237374,0.1410000,0.2220000,0.0176250,13.200,10.00,0.0003750
301.1391250,0.0810001,0.0412500,0.0416250,0.0187500,0.000,10.00,0.0003750
301.0502500,0.0712501,0.0615000,0.0930000,0.0247500,-11.000,10.00,0.0003750
301.0652500,0.1237501,0.0131250,0.0131250,0.0123750,0.000,8.00,0.0003750
301.1368750,0.0138751,0.0142500,0.0142500,0.0082500,0.000,10.00,0.0003750
301.0150000,0.0382501,0.0138750,0.0138750,0.0086250,0.000,3.00,0.0003750
301.1372500,0.0765001,0.0356250,0.0356250,0.0123750,0.000,4.00,0.0003750
301.0127500,0.0633001,0.0607500,0.0603750,0.0093750,0.000,10.00,0.0003750
301.1142250,0.0099751,0.0075000,0.0075000,0.5122500,15.600,10.00,0.0003750
301.1357500,0.0157501,0.0075000,0.0075000,0.0045000,0.000,8.00,0.0003750
301.0982500,0.0727501,0.0150000,0.0150000,0.0075000,0.000,4.00,0.0003750
301.0037500,0.0337501,0.0757500,0.0772500,0.0243750,0.000,4.00,0.0003750
301.1432500,0.0836251,0.0315000,0.0315000,0.0150000,0.000,4.00,0.0003750
301.0997500,0.0645001,0.0157500,0.0157500,0.0150000,0.000,3.00,0.0003750
301.0476250,0.1076251,0.0255000,0.0202500,0.0150000,0.000,3.00,0.0003750
301.0622500,0.2595000,0.0363750,0.0558750,0.0142500,42.000,5.00,0.0003750
301.0641250,0.2486250,0.1608750,0.1736250,0.0030000,0.000,5.00,0.0003750
301.0277500,0.2347500,0.1957500,0.1942500,0.0240000,0.000,7.00,0.0003750
301.1095000,0.2805000,0.0408750,0.0498750,0.0453750,35.200,9.00,0.0003750
301.0045000,0.1657500,0.0660000,0.0660000,0.0030000,0.000,3.00,0.0003750
301.0348750,0.2336250,0.1001250,0.0997500,0.1181250,0.000,8.00,0.0003750
301.0648750,0.2475000,0.1605000,0.1672500,0.0367500,0.000,5.00,0.0003750
301.0675000,0.2587500,0.0371250,0.0453750,0.0150000,38.200,5.00,0.0003750
301.1128750,0.2610000,0.0660000,0.0945000,0.0142500,21.400,5.00,0.0003750
301.1131188,0.2743688,0.0446250,0.0738750,0.0105000,45.900,5.00,0.0003750
301.0556313,0.1506188,0.0375000,0.0483750,0.0105000,23.700,5.00,0.0003750
301.0615000,0.2216250,0.0851250,0.0626250,0.0607500,0.000,4.00,0.0003750
301.0654000,0.2457000,0.1481250,0.1830000,0.0521250,31.100,10.00,0.0003750
301.0513750,0.2325000,0.0780000,0.0982500,0.0806250,-0.400,3.00,0.0003750
301.0378750,0.2433750,0.0090000,0.0090000,0.0195000,0.000,3.00,0.0003750
301.0592500,0.2295000,0.0075000,0.0075000,0.0135000,0.000,3.00,0.0003750
301.0963750,0.2490000,0.0217500,0.0217500,0.0150000,0.000,4.00,0.0003750
301.0202500,0.3468750,0.0371250,0.0382500,0.0266250,0.000,3.00,0.0003750
301.0153750,0.3446250,0.0161250,0.0161250,0.0138750,0.000,9.00,0.0003750
301.0135000,0.3438750,0.0075000,0.0075000,0.0093750,0.000,5.00,0.0003750
301.0142500,0.4245000,0.0513750,0.0513750,0.0150000,0.000,5.00,0.0003750
301.1376250,0.4207500,0.0168750,0.0168750,0.0056250,0.000,5.00,0.0003750
301.0187500,0.4209375,0.0075000,0.0075000,0.3843750,-9.000,10.00,0.0003750
301.0246750,0.4206188,0.0258750,0.0255000,0.0056250,0.000,10.00,0.0003750
301.0246938,0.4212563,0.0427500,0.0427500,0.2175000,0.000,10.00,0.0003750
301.0062813,0.3435000,0.0075000,0.0078750,0.3435000,12.600,10.00,0.0003750
301.0131250,0.3456188,0.0086250,0.0101250,0.0168750,23.500,10.00,0.0003750
301.0678188,0.4184438,0.0075000,0.0075000,0.0150000,0.000,10.00,0.0003750
301.0978188,0.4103063,0.0127500,0.0127500,0.0123750,0.000,10.00,0.0003750
301.0996938,0.3165563,0.0093750,0.0093750,0.0183750,0.000,10.00,0.0003750
301.1218750,0.3015563,0.0075000,0.0105000,0.0101250,22.100,10.00,0.0003750
301.0150000,0.3510000,0.0442500,0.0457500,0.0165000,0.000,3.00,0.0003750
