"lon","lat","width","height","thickness","angle","score","scale"
25.1500000,0.0598751,0.0075000,0.0108750,0.0082500,0.000,10.00,0.0003750
25.1481250,0.0898751,0.0243750,0.0243750,0.0030000,0.000,9.00,0.0003750
25.1473750,0.0606251,0.0165000,0.0165000,0.0041250,0.000,9.00,0.0003750
25.1494938,0.0617126,0.0075000,0.0075000,0.0116250,0.000,10.00,0.0003750
25.0384375,0.0328189,0.1837500,0.2418750,0.0123750,62.300,10.00,0.0003750
25.1380000,0.1202500,0.0258750,0.0367500,0.0142500,-11.500,8.00,0.0003750
25.1387500,0.1277500,0.0348750,0.0480000,0.0112500,-31.500,10.00,0.0003750
25.1402500,0.1341250,0.0607500,0.0322500,0.0292500,41.400,8.00,0.0003750
25.0656250,0.1821250,0.0521250,0.0427500,0.0165000,-5.300,5.00,0.0003750
25.1478250,0.1012375,0.0577500,0.0360000,0.1158750,37.400,10.00,0.0003750
25.0324938,0.2321875,0.0105000,0.0078750,0.0206250,0.000,10.00,0.0003750
25.0562500,0.2103063,0.0075000,0.0075000,0.0150000,0.000,10.00,0.0003750
25.1101000,0.2641000,0.0086250,0.0086250,0.0060000,0.000,9.00,0.0003750
25.0978750,0.2661250,0.0307500,0.0176250,0.0082500,-9.100,9.00,0.0003750
25.1005000,0.2638750,0.0075000,0.0075000,0.0150000,0.000,8.00,0.0003750
25.1248750,0.3126250,0.0116250,0.0258750,0.0030000,-50.300,10.00,0.0003750
25.1005000,0.2590000,0.0483750,0.0187500,0.0101250,21.800,5.00,0.0003750
25.0926250,0.2706250,0.0213750,0.0311250,0.0071250,-40.800,10.00,0.0003750
25.1087500,0.3287500,0.0075000,0.0075000,0.0150000,0.000,6.00,0.0003750
25.0941250,0.2691250,0.0075000,0.0075000,0.0300000,0.000,6.00,0.0003750
25.0026250,0.2578750,0.0075000,0.0075000,0.0150000,0.000,6.00,0.0003750
25.0697500,0.3220000,0.0337500,0.0333750,0.0135000,0.000,6.00,0.0003750
25.0391875,0.5393500,0.0161250,0.0165000,0.0067500,0.000,5.00,0.0003750
25.1196250,0.4671250,0.0123750,0.0123750,0.0101250,0.000,7.00,0.0003750
25.0855000,0.4963750,0.0941250,0.0922500,0.0217500,-41.200,7.00,0.0003750
25.1185000,0.4645000,0.0105000,0.0105000,0.0090000,0.000,8.00,0.0003750
25.1181250,0.4645000,0.0142500,0.0195000,0.0067500,-15.300,10.00,0.0003750
25.0843750,0.4776250,0.1057500,0.1241250,0.0210000,16.600,10.00,0.0003750
25.1192500,0.4611250,0.0086250,0.0086250,0.0097500,0.000,8.00,0.0003750
25.1185000,0.4637500,0.0075000,0.0078750,0.0135000,0.000,5.00,0.0003750
25.1188750,0.4626250,0.0213750,0.0213750,0.0030000,0.000,7.00,0.0003750
25.1200000,0.4645000,0.0153750,0.0176250,0.0041250,7.700,5.00,0.0003750
25.1181250,0.4641250,0.0075000,0.0108750,0.0120000,0.000,10.00,0.0003750
25.1200000,0.4621000,0.0108750,0.0108750,0.0052500,0.000,9.00,0.0003750
25.1185000,0.4645000,0.0206250,0.0206250,0.0048750,0.000,8.00,0.0003750
25.1184438,0.4628313,0.0153750,0.0153750,0.0086250,0.000,7.00,0.0003750
25.1185000,0.4626250,0.0090000,0.0101250,0.0086250,0.000,5.00,0.0003750
25.1192500,0.4615000,0.0078750,0.0075000,0.0161250,70.700,8.00,0.0003750
25.0735000,0.5335000,0.0243750,0.0127500,0.0393750,8.400,8.00,0.0003750
25.1176188,0.4684000,0.0105000,0.0172500,0.0120000,0.000,10.00,0.0003750
25.0453750,0.5706250,0.0138750,0.0138750,0.0075000,0.000,8.00,0.0003750
25.1140000,0.5848750,0.0176250,0.0176250,0.0082500,0.000,8.00,0.0003750
25.0810000,0.8076250,0.0510000,0.0588750,0.0183750,-1.900,7.00,0.0003750
25.0438750,0.7671250,0.0251250,0.0345000,0.0142500,-11.400,7.00,0.0003750
25.0150000,0.7307500,0.0296250,0.0333750,0.0183750,0.000,7.00,0.0003750
25.1248750,0.7637500,0.0228750,0.0228750,0.0135000,0.000,9.00,0.0003750
25.0406125,0.7110813,0.0131250,0.0131250,0.0108750,0.000,5.00,0.0003750
25.0050063,0.7852188,0.0116250,0.0116250,0.0108750,0.000,5.00,0.0003750
25.0866813,0.7999563,0.0240000,0.0240000,0.0322500,0.000,5.00,0.0003750
25.0792000,0.8089000,0.0431250,0.0487500,0.0258750,10.000,10.00,0.0003750
25.0693000,0.7843000,0.0697500,0.0922500,0.0551250,0.000,10.00,0.0003750
25.0789000,0.8086000,0.0435000,0.0577500,0.0367500,6.100,10.00,0.0003750
25.1384500,1.0343688,0.1091250,0.1091250,0.5572500,-11.900,10.00,0.0003750
25.0712500,0.9707500,0.0408750,0.0270000,0.0600000,0.000,5.00,0.0003750
25.0941250,0.9985000,0.0123750,0.0123750,0.0150000,0.000,5.00,0.0003750
25.0102000,0.9478000,0.0086250,0.0176250,0.0078750,12.400,10.00,0.0003750
25.1278750,-0.1655000,0.0225000,0.0187500,0.0236250,-50.800,10.00,0.0003750
25.0900000,-0.1452500,0.0195000,0.0251250,0.0112500,-21.100,10.00,0.0003750
25.0865688,-0.1318813,0.0075000,0.0075000,0.0071250,0.000,10.00,0.0003750
25.0450750,-0.1040188,0.0075000,0.0075000,0.4117500,-19.000,10.00,0.0003750
25.0585000,-0.2423750,0.0255000,0.0588750,0.0097500,-13.200,5.00,0.0003750
25.1398750,-0.3338750,0.0135000,0.0198750,0.0071250,0.000,5.00,0.0003750
25.1376250,-0.3387500,0.0165000,0.0165000,0.0135000,0.000,5.00,0.0003750
25.0600000,-0.2536250,0.0075000,0.0075000,0.0045000,0.000,5.00,0.0003750
25.0982500,-0.2603750,0.0075000,0.0075000,0.0033750,0.000,5.00,0.0003750
25.1368750,-0.3248750,0.0075000,0.0075000,0.0037500,0.000,5.00,0.0003750
25.1447500,-0.2000000,0.0075000,0.0075000,0.0056250,0.000,5.00,0.0003750
25.1226250,-0.2945000,0.0075000,0.0075000,0.0030000,0.000,5.00,0.0003750
25.1230000,-0.3046250,0.0075000,0.0075000,0.0030000,0.000,5.00,0.0003750
25.0577500,-0.3485000,0.0075000,0.0075000,0.0037500,0.000,5.00,0.0003750
25.1436250,-0.3350000,0.0150000,0.0150000,0.0075000,0.000,10.00,0.0003750
25.1406250,-0.3383750,0.0116250,0.0116250,0.0108750,0.000,10.00,0.0003750
25.1380000,-0.3387500,0.0135000,0.0135000,0.0090000,0.000,9.00,0.0003750
25.1353750,-0.3391250,0.0172500,0.0172500,0.0082500,0.000,5.00,0.0003750
25.1361250,-0.3383750,0.0180000,0.0180000,0.0045000,0.000,8.00,0.0003750
25.1402500,-0.3413750,0.0123750,0.0123750,0.0101250,0.000,9.00,0.0003750
25.1381313,-0.3396875,0.0153750,0.0153750,0.0071250,0.000,5.00,0.0003750
25.1380000,-0.3383750,0.0161250,0.0165000,0.0041250,0.000,6.00,0.0003750
25.0495000,-0.5911250,0.0221250,0.0225000,0.0090000,0.000,8.00,0.0003750
25.0416250,-0.5618750,0.0273750,0.0330000,0.0063750,0.000,5.00,0.0003750
25.0440250,-0.5590813,0.0258750,0.0198750,0.0075000,-43.000,9.00,0.0003750
25.1038750,-0.7497500,0.0326250,0.0461250,0.0240000,0.000,8.00,0.0003750
